datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
2025-02-25 09:31:00,21.32,21.46,21.46,21.25,246100.0,5253304.0,2025,2,25,9,31,2025-02-25 09:31,246100.0
2025-02-25 09:32:00,21.46,21.62,21.75,21.46,159000.0,3429267.0,2025,2,25,9,32,2025-02-25 09:32,159000.0
2025-02-25 09:33:00,21.62,21.56,21.7,21.56,142700.0,3086249.0,2025,2,25,9,33,2025-02-25 09:33,142700.0
2025-02-25 09:34:00,21.58,21.52,21.66,21.52,62900.0,1357997.0,2025,2,25,9,34,2025-02-25 09:34,62900.0
2025-02-25 09:35:00,21.52,21.49,21.63,21.49,130400.0,2810058.0,2025,2,25,9,35,2025-02-25 09:35,130400.0
2025-02-25 09:36:00,21.49,21.44,21.49,21.41,71600.0,1535591.0,2025,2,25,9,36,2025-02-25 09:36,71600.0
2025-02-25 09:37:00,21.44,21.44,21.51,21.42,74900.0,1607798.0,2025,2,25,9,37,2025-02-25 09:37,74900.0
2025-02-25 09:38:00,21.43,21.36,21.43,21.35,30400.0,650339.0,2025,2,25,9,38,2025-02-25 09:38,30400.0
2025-02-25 09:39:00,21.36,21.41,21.41,21.35,48900.0,1043644.0,2025,2,25,9,39,2025-02-25 09:39,48900.0
2025-02-25 09:40:00,21.41,21.43,21.49,21.41,32100.0,687547.0,2025,2,25,9,40,2025-02-25 09:40,32100.0
2025-02-25 09:41:00,21.42,21.38,21.42,21.38,24200.0,519772.0,2025,2,25,9,41,2025-02-25 09:41,24200.0
2025-02-25 09:42:00,21.38,21.4,21.4,21.35,29400.0,628229.0,2025,2,25,9,42,2025-02-25 09:42,29400.0
2025-02-25 09:43:00,21.36,21.36,21.36,21.32,61400.0,1309495.0,2025,2,25,9,43,2025-02-25 09:43,61400.0
2025-02-25 09:44:00,21.36,21.41,21.43,21.36,30200.0,646421.0,2025,2,25,9,44,2025-02-25 09:44,30200.0
2025-02-25 09:45:00,21.41,21.31,21.41,21.31,72000.0,1534646.0,2025,2,25,9,45,2025-02-25 09:45,72000.0
2025-02-25 09:46:00,21.32,21.33,21.35,21.3,43800.0,934003.0,2025,2,25,9,46,2025-02-25 09:46,43800.0
2025-02-25 09:47:00,21.32,21.33,21.33,21.3,43100.0,919589.0,2025,2,25,9,47,2025-02-25 09:47,43100.0
2025-02-25 09:48:00,21.33,21.41,21.41,21.33,35700.0,762876.0,2025,2,25,9,48,2025-02-25 09:48,35700.0
2025-02-25 09:49:00,21.41,21.44,21.45,21.4,28200.0,604233.0,2025,2,25,9,49,2025-02-25 09:49,28200.0
2025-02-25 09:50:00,21.43,21.4,21.46,21.4,42000.0,900795.0,2025,2,25,9,50,2025-02-25 09:50,42000.0
2025-02-25 09:51:00,21.39,21.35,21.4,21.32,59300.0,1265749.0,2025,2,25,9,51,2025-02-25 09:51,59300.0
2025-02-25 09:52:00,21.36,21.36,21.36,21.33,26700.0,569508.0,2025,2,25,9,52,2025-02-25 09:52,26700.0
2025-02-25 09:53:00,21.35,21.25,21.35,21.23,153900.0,3275715.0,2025,2,25,9,53,2025-02-25 09:53,153900.0
2025-02-25 09:54:00,21.23,21.28,21.29,21.23,67600.0,1437685.0,2025,2,25,9,54,2025-02-25 09:54,67600.0
2025-02-25 09:55:00,21.26,21.3,21.3,21.25,64900.0,1380347.0,2025,2,25,9,55,2025-02-25 09:55,64900.0
2025-02-25 09:56:00,21.31,21.25,21.31,21.25,79000.0,1680069.0,2025,2,25,9,56,2025-02-25 09:56,79000.0
2025-02-25 09:57:00,21.25,21.33,21.33,21.24,33400.0,712325.0,2025,2,25,9,57,2025-02-25 09:57,33400.0
2025-02-25 09:58:00,21.34,21.31,21.35,21.28,29700.0,633100.0,2025,2,25,9,58,2025-02-25 09:58,29700.0
2025-02-25 09:59:00,21.32,21.41,21.41,21.32,66900.0,1426990.0,2025,2,25,9,59,2025-02-25 09:59,66900.0
2025-02-25 10:00:00,21.36,21.36,21.37,21.34,33000.0,704822.0,2025,2,25,10,0,2025-02-25 10:00,33000.0
2025-02-25 10:01:00,21.38,21.33,21.38,21.32,34800.0,742531.0,2025,2,25,10,1,2025-02-25 10:01,34800.0
2025-02-25 10:02:00,21.35,21.33,21.39,21.31,116400.0,2484510.0,2025,2,25,10,2,2025-02-25 10:02,116400.0
2025-02-25 10:03:00,21.31,21.36,21.38,21.31,27000.0,576077.0,2025,2,25,10,3,2025-02-25 10:03,27000.0
2025-02-25 10:04:00,21.36,21.31,21.36,21.31,32300.0,689134.0,2025,2,25,10,4,2025-02-25 10:04,32300.0
2025-02-25 10:05:00,21.3,21.31,21.33,21.28,27900.0,593444.0,2025,2,25,10,5,2025-02-25 10:05,27900.0
2025-02-25 10:06:00,21.31,21.27,21.34,21.25,180300.0,3839436.0,2025,2,25,10,6,2025-02-25 10:06,180300.0
